Event Site Name,Code,Idnum,n
B2J - Bonneville PH2 Juvenile,BON,8,8144
BBT - Touchet River at Bolles Bridge,,,1
BCC - BON PH2 Corner Collector,BON,8,1210
BO1 - Bonneville Bradford Is. Ladder,,8,10
BO2 - Bonneville Cascades Is. Ladder,,8,2
BO3 - Bonneville WA Shore Ladder/AFF,,8,25
BO4 - Bonneville WA Ladder Slots,,,32
CHM - Chumstick Creek,,,2
CHL - Lower Chiwawa River,CHI_OUT,2,4795
ICL - Lower Icicle Instream Array,ICL_OUT,2,495
ICM - Middle Icicle Instream Array,ICL_OUT,2,22
JDJ - John Day Dam Juvenile,JDJ,7,2766
JDPI - Preacher's Island downstream of John Day Dam,,,1
JO1 - John Day South Fish Ladder,,7,2
JO2 - John Day North Fish Ladder,,7,2
LEAV - Leavenworth National Fish Hatchery,ICR,1,45129
LWB - Lower Wenatchee Barge,WEN,4,2278
LWE - Lower Wenatchee River,WEN,4,3
MC1 - McNary Oregon Shore Ladder,,6,26
MC2 - McNary Washington Shore Ladder,,6,4
MCJ - McNary Dam Juvenile,MCJ,6,5902
NAF - Nason Acclimation Facility,NASONR,1,10091
NAL - Lower Nason Creek,NAS,2,3571
NAU - Upper Nason Creek,,2,7
PD5 - Columbia River Estuary rkm 62,,9,68
PD6 - Columbia River Estuary rkm 68,,9,89
PD7 - Columbia River Estuary rkm 70,,9,3
PD8 - Columbia River Estuary rkm 82,,9,115
PRH - Priest Rapids Hatchery Outfall,,,13
RIA - Rock Island Adult,RIA_RIS,5,59
RIS - Rock Island Dam,RIA_RIS,5,78
TD1 - The Dalles East Fish Ladder,,,8
TWX - Estuary Towed Array (Exp.),PD_TWX,9,1083
TUF - Tumwater Dam Adult Fishway,TUF,3,404
"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek",,4,
UWE - Upper Wenatchee River,NASON_OUT,2,
CHIP - Chiwawa Rearing Pond,NASONR,1,10086
CASC - Cascade Hatchery (ODFW) near Cascade Locks,NASONR,1,18504
BCP - Butcher Creek Acclimation Pond,NASONR,1,6517
EBNK - East Bank Hatchery,CHIWAWAR,1,10440
"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",CHI_OUT,1,1
NASONC - Nason Creek (tributary to Wenatchee River),NASONR,1,1
"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek , Mark",Upr_WEN,1,1
CHIWAR -,CHIWAWAR,1,1
NASONC -,NASONR,1,1
B2J -,BON,8,
BCC -,BON,8,
CHL -,,2,
CHW -,,2,
ICL -,,2,
ICM -,,2,
JDJ -,,7,
LWB -,,4,
LWE -,,4,
LWN -,,4,
MCJ -,,6,
NAL -,,2,
NAU -,,2,
PD6 -,,9,
RIA -,,5,
TUF -,,3,
TWX -,,9,
UWE -,,4,
WENA4T -,,4,
,,,
