"","Chinook","Coho","Unknown"
"B2J - Bonneville PH2 Juvenile",0,0,1654
"BCC - BON PH2 Corner Collector",0,0,443
"BCP - Butcher Creek Acclimation Pond",0,0,1
"BO1 - Bonneville Bradford Is. Ladder",0,0,35
"BO3 - Bonneville WA Shore Ladder/AFF",0,0,46
"BO4 - Bonneville WA Ladder Slots",0,0,80
"BVP - Beaver Creek Acclimation Pond",0,0,8268
"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",1,0,0
"CHL - Lower Chiwawa River",0,0,1158
"CHM - Chumstick Creek",0,0,3
"CHP - Chiwawa Acc. Pond",0,0,1405
"CHW - Chiwaukum Creek",0,0,4
"CML - Chewuch River Middle Lower",0,0,2
"CWP - Chewuch Acclimation Pond",0,0,1
"EBNK - East Bank Hatchery",10440,0,0
"EBO - East Bank Hatchery Outfall",0,0,5
"ICL - Lower Icicle Instream Array",0,0,4
"ICM - Middle Icicle Instream Array",0,0,3
"JDJ - John Day Dam Juvenile",0,0,771
"JDPI - Preacher's Island downstream of John Day Dam",0,0,3
"JO1 - John Day South Fish Ladder",0,0,6
"JO2 - John Day North Fish Ladder",0,0,11
"LWB - Lower Wenatchee Barge",0,0,545
"LWE - Lower Wenatchee River",0,0,17
"MC1 - McNary Oregon Shore Ladder",0,0,54
"MC2 - McNary Washington Shore Ladder",0,0,22
"MCJ - McNary Dam Juvenile",0,0,1244
"MEM - Eightmile Acclimation Pond",0,0,3
"NAL - Lower Nason Creek",0,0,8
"OKD - Penticton (Okanagan Lake) Dam",0,0,2
"PD5 - Columbia River Estuary rkm 62",0,0,70
"PD6 - Columbia River Estuary rkm 68",0,0,57
"PD7 - Columbia River Estuary rkm 70",0,0,6
"PD8 - Columbia River Estuary rkm 82",0,0,30
"PES - Peshastin Creek",0,0,1
"PEU - Upper Peshastin Creek",0,0,6
"PRA - Priest Rapids Adult",0,0,15
"PRH - Priest Rapids Hatchery Outfall",0,0,2
"RIA - Rock Island Adult",0,0,85
"RIS - Rock Island Dam",1,40,0
"TD1 - The Dalles East Fish Ladder",0,0,24
"TD2 - The Dalles North Fish Ladder",0,0,2
"TUF - Tumwater Dam Adult Fishway",0,0,20
"TWX - Estuary Towed Array (Exp.)",0,0,254
"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek",1,15,0
"WILL - Willard National Fish Hatchery",0,9996,0
