"loc" "fY" "time" "n" "id" "wk" "pred_time" "pred_n" "obs_n"
"1" "as.Smolt" "2017" NA 1 7455 4 3.28116621421678 0.123877356222725 0
"2" "as.Smolt" "2017" 5 1 7456 5 3.65141134707567 0.0599830902452597 1
"3" "as.Smolt" "2017" 6 1 7457 5 3.65141134707567 0.0599830902452597 1
"4" "as.Smolt" "2017" NA 3 7458 5 3.65141134707567 0.309203561949651 0
"5" "as.Smolt" "2017" 6 1 7459 5 3.65141134707567 0.0599830902452597 1
"6" "as.Smolt" "2017" NA 6 7460 5 3.65141134707567 0.618407123899302 0
"7" "as.Smolt" "2017" NA 2 7461 5 3.65141134707567 0.206135707966434 0
"8" "as.Smolt" "2017" 7 1 7462 6 3.96184351239564 0.0514118107759571 1
"9" "as.Smolt" "2017" NA 4 7463 6 3.96184351239564 0.3533599208979 0
"10" "as.Smolt" "2017" 4 1 7464 6 3.96184351239564 0.0514118107759571 1
"11" "as.Smolt" "2017" 5 1 7465 6 3.96184351239564 0.0514118107759571 1
"12" "as.Smolt" "2017" 6 1 7466 6 3.96184351239564 0.0514118107759571 1
"13" "as.Smolt" "2017" NA 8 7467 6 3.96184351239564 0.706719841795799 0
"14" "as.Smolt" "2017" 5 1 7468 6 3.96184351239564 0.0514118107759571 1
"15" "as.Smolt" "2017" NA 4 7469 6 3.96184351239564 0.3533599208979 0
"16" "as.Smolt" "2017" NA 1 7470 6 3.96184351239564 0.0883399802244749 0
"17" "as.Smolt" "2017" NA 3 7471 7 4.19119532454155 0.236484751196085 0
"18" "as.Smolt" "2017" 7 1 7472 7 4.19119532454155 0.0458762055753172 1
"19" "as.Smolt" "2017" NA 12 7473 7 4.19119532454155 0.945939004784339 0
"20" "as.Smolt" "2017" 4 2 7474 7 4.19119532454155 0.0917524111506344 2
"21" "as.Smolt" "2017" 5 2 7475 7 4.19119532454155 0.0917524111506344 2
"22" "as.Smolt" "2017" NA 10 7476 7 4.19119532454155 0.788282503986949 0
"23" "as.Smolt" "2017" 4 1 7477 7 4.19119532454155 0.0458762055753172 1
"24" "as.Smolt" "2017" NA 16 7478 7 4.19119532454155 1.26125200637912 0
"25" "as.Smolt" "2017" 4 1 7479 7 4.19119532454155 0.0458762055753172 1
"26" "as.Smolt" "2017" NA 7 7480 7 4.19119532454155 0.551797752790864 0
